"","AGE","EDU","GENDER","SEXUAL_ORIENTATION","RELATIONSHIP","SOI_1","SOI_2","SOI_3","SOI_4","SOI_5","SOI_6","SOI_7","SOI_8","SOI_9"
"224","48",4,"F","0",0,3,3,8,8,8,2,5,4,3
"225","29",3,"F","1",1,4,9,9,9,9,1,8,6,6
"226","28",4,"M","0",1,2,1,1,4,2,2,2,2,2
"227","40",3,"F","1",0,6,2,5,6,7,2,6,7,6
"228","33",3,"F","0",1,2,2,1,6,1,4,5,3,2
"229","34",4,"F","0",1,2,6,6,9,1,1,2,2,1
"230","31",2,"F","0",1,2,2,1,6,7,2,3,2,2
"231","48",3,"F","0",0,2,1,3,6,2,7,5,6,1
"232","22",2,"M","0",0,4,2,7,7,8,2,7,2,2
"233","32",3,"F","0",1,2,1,1,7,3,5,3,3,2
"234","27",4,"F","0",1,2,6,5,8,9,1,7,2,1
"235","29",2,"F","0",1,2,2,1,7,1,5,2,1,1
"236","30",4,"F","0",0,3,2,2,7,7,3,7,7,6
"237","27",1,"F","0",1,2,2,1,4,1,8,2,1,1
"238","33",3,"F","0",0,2,2,3,7,1,5,2,1,1
"239","36",2,"F","0",0,1,4,3,9,9,2,4,2,2
"240","24",3,"F","0",1,2,2,1,9,6,1,7,4,4
"241","28",4,"F","0",1,2,5,5,9,9,2,7,7,7
"242","26",3,"F","0",0,2,2,2,8,4,6,2,2,1
"243","32",2,"F","0",1,2,4,4,9,7,1,6,2,2
"244","21",2,"F","1",1,2,2,1,8,4,4,3,2,1
"245","25",3,"M","1",0,9,9,9,9,9,1,9,8,8
"246","45",2,"F","0",1,1,1,1,7,1,8,2,1,1
"247","23",3,"F","0",0,1,2,1,9,7,2,9,7,7
"248","20",2,"F","1",0,2,1,1,9,2,7,7,6,5
"249","26",3,"M","0",0,2,5,4,6,5,8,2,2,2
"250","25",4,"F","0",1,2,4,5,4,8,7,6,3,3
"251","32",4,"F","0",1,1,1,1,6,3,5,2,2,2
"252","46",4,"M","0",1,2,1,1,9,5,2,7,6,3
"253","29",4,"F","0",1,2,3,3,7,3,7,2,2,2
"254","30",4,"M","1",1,2,3,8,7,9,1,9,9,9
"255","34",1,"F","0",1,2,2,2,7,5,7,9,2,1
"256","27",3,"M","0",1,2,1,1,6,8,2,7,5,7
"257","25",2,"F","0",1,2,1,1,7,5,3,4,3,2
"258","24",2,"M","0",0,3,2,3,6,6,4,9,9,7
"259","23",2,"F","0",1,2,1,1,2,4,2,7,1,2
"260","24",2,"F","0",1,2,2,1,9,2,2,4,2,1
"261","25",2,"M","1",0,4,3,4,9,9,4,6,6,7
"262","25",2,"F","0",1,2,1,1,9,1,6,5,5,5
"263","23",3,"F","0",0,2,2,1,1,1,9,2,2,2
"264","38",3,"F","0",1,2,5,5,8,5,2,3,3,2
"265","24",2,NA,"1",0,2,2,2,4,1,7,4,2,2
"266","23",3,"F","0",0,1,1,1,9,4,2,3,3,2
"267","23",3,"F","0",1,2,1,1,8,4,5,2,2,1
"268","25",3,"F","1",0,4,7,8,9,8,1,9,7,5
"269","26",3,NA,"1",0,6,9,8,5,8,2,7,4,3
"270","24",2,"M","1",0,2,9,8,8,8,1,7,7,6
"271","20",2,"F","0",0,3,1,3,2,2,8,2,7,4
"272","26",3,"F","0",1,2,1,1,5,7,3,2,2,2
"273","25",4,"F","0",0,2,2,1,7,2,6,3,3,3
"274","22",3,"F","0",1,2,2,1,8,6,3,2,1,2
"275","26",4,"M","0",1,2,2,1,9,6,3,4,3,5
"276","19",2,"F","0",1,2,2,2,9,1,3,2,2,2
"277","22",3,"F","0",1,2,2,1,4,3,6,2,2,3
"278","27",3,"F","0",0,1,1,3,8,6,3,5,5,2
"279","25",3,"F","0",0,2,2,4,9,1,3,7,6,5
"280","26",4,"M","0",1,2,5,4,5,2,3,4,3,2
"281","27",3,"M","0",0,2,4,3,2,1,3,3,2,2
"282","19",2,"F","0",1,2,1,1,9,1,5,1,1,1
"283","26",4,"F","0",0,2,1,3,6,1,3,3,2,6
"284","25",2,"M","0",1,2,2,2,9,7,2,3,3,3
"285","21",2,"F","0",1,2,2,2,3,1,3,2,1,1
"286","25",3,"F","0",1,3,2,7,4,2,6,2,2,1
"287","21",2,"F","1",0,1,1,1,5,4,4,4,2,4
"288","26",4,"F","0",0,6,5,7,5,5,4,7,7,2
"289","26",4,"F","0",0,3,2,6,9,9,1,6,5,8
"290","23",3,"F","0",1,2,1,1,9,8,2,2,2,2
"291","25",2,"M","0",1,2,2,1,7,6,4,8,8,5
"292","24",2,"F","0",1,1,1,1,1,1,9,3,2,7
"293","22",2,"F","0",1,1,1,6,4,1,5,2,2,1
"294","34",3,"F","1",0,2,7,4,6,3,4,3,3,6
"295","28",4,"F","0",1,2,1,1,6,1,4,3,2,2
"296","25",3,"F","0",0,3,3,4,4,5,3,4,4,2
"297","20",2,"F","0",1,2,1,1,1,1,6,2,1,1
"298","26",3,"F","0",0,4,2,8,8,8,2,7,7,7
"299","24",2,"M","0",0,3,5,6,7,4,4,7,5,6
"300","29",4,"F","0",1,2,2,2,7,1,2,2,1,1
"301","24",2,"M","0",1,1,1,1,1,1,6,2,2,2
"302","24",3,"F","0",1,2,2,1,7,2,5,2,2,2
"303","24",3,"F","0",0,2,1,1,7,2,3,5,2,2
"304","42",2,"F","0",0,2,1,8,9,8,1,9,2,2
"305","32",4,"F","0",0,2,1,1,9,5,6,3,3,2
"306","21",2,"F","0",1,1,1,1,3,1,9,2,1,1
"307","24",2,"F","0",1,2,2,1,3,1,9,2,1,2
"308","27",1,"F","0",1,2,2,1,1,1,6,7,7,4
"309","32",4,"F","0",1,2,2,2,5,2,7,5,3,2
"310","24",2,"M","0",0,3,2,3,7,5,3,9,3,6
"311","33",2,"M","0",1,2,2,5,9,7,4,2,2,2
"312","28",2,"F","0",0,2,2,3,8,7,2,3,3,2
"313","23",2,"F","0",1,1,2,1,5,4,4,3,2,7
"314","21",3,NA,"1",0,2,3,2,6,7,2,4,4,2
"315","23",2,"M","0",0,2,3,2,6,3,2,7,8,5
"316","23",3,"F","0",0,2,2,1,7,1,6,9,7,2
"317","22",2,NA,"1",1,6,5,5,9,9,1,9,9,9
"318","25",2,"M","1",0,8,7,8,9,7,1,8,7,8
"319","20",2,"F","1",1,2,1,1,9,6,1,2,2,1
"320","24",3,"M","0",0,2,1,1,7,4,5,9,7,2
"321","18",1,"F","0",0,1,1,1,4,1,7,2,7,3
"322","36",3,"F","0",1,2,1,2,3,2,6,2,1,1
"323","26",2,"M","0",0,1,1,2,5,9,1,6,7,3
"324","24",2,"M","0",0,4,1,6,7,7,3,7,7,7
"325","26",4,"F","0",0,5,3,5,5,1,1,7,3,9
"326","25",3,"M","0",0,1,1,1,3,3,3,3,2,2
"327","40",4,"F","0",0,4,3,2,5,5,3,4,2,2
"328","26",2,"M","0",0,3,2,1,5,7,3,8,6,8
"329","26",4,"M","0",0,6,4,5,9,9,1,4,7,2
"330","21",2,"F","1",0,2,1,1,9,7,4,2,2,2
"331","25",4,"F","1",1,5,1,3,2,4,4,4,2,2
"332","24",2,"M","0",1,6,8,9,9,9,1,8,7,9
"333","24",3,"M","0",1,2,2,1,4,3,5,5,2,2
"334","41",2,"F","1",1,2,2,2,9,9,1,6,2,3
"335","22",3,"F","1",0,2,1,3,6,2,8,8,5,8
"336","23",3,"F","0",0,2,2,2,9,4,1,5,2,2
"337","24",3,"F","0",1,2,2,1,7,1,9,2,2,1
"338","23",3,"M","0",0,3,6,6,9,9,1,7,5,8
"339","25",3,"F","0",1,2,2,2,8,3,3,4,2,2
"340","24",3,"F","0",0,2,1,1,7,4,5,4,2,2
"341","32",4,"F","1",1,3,2,6,4,2,3,3,3,3
"342","23",2,"F","0",1,2,5,3,7,2,4,8,4,2
"343","28",4,"F","0",1,3,2,2,9,2,3,5,5,6
"344","20",2,"F","0",0,1,1,1,6,4,5,7,2,5
"345","30",3,"M","0",0,1,2,2,9,8,1,2,8,2
